"date","country","region","city","sessions","users","newUsers"
"20170117","Netherlands","South Holland","Rotterdam",1,1,1
"20170117","Norway","Oslo","Oslo",1,1,1
"20170117","Poland","Lodz Voivodeship","Belchatow",1,1,1
"20170117","Poland","Lodz Voivodeship","Lodz",2,2,2
"20170117","Poland","Lower Silesian Voivodeship","Jelenia Gora",1,1,1
"20170117","Poland","Lower Silesian Voivodeship","Wroclaw",24,20,19
"20170117","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170117","Poland","Pomeranian Voivodeship","Gdansk",1,1,1
"20170117","Switzerland","Zurich","Zurich",1,1,1
"20170117","United States","California","Palo Alto",1,1,1
"20170118","Germany","Berlin","Berlin",1,1,1
"20170118","Poland","Greater Poland Voivodeship","Poznan",1,1,1
"20170118","Poland","Lesser Poland Voivodeship","Krakow",1,1,1
"20170118","Poland","Lodz Voivodeship","Lodz",1,1,0
"20170118","Poland","Lower Silesian Voivodeship","Strzelin",1,1,1
"20170118","Poland","Lower Silesian Voivodeship","Wroclaw",55,47,43
"20170118","Poland","Masovian Voivodeship","Warsaw",8,5,3
"20170118","United States","California","Palo Alto",2,1,0
"20170119","Finland","Southern Finland","Espoo",1,1,1
"20170119","Germany","(not set)","(not set)",1,1,1
"20170119","Ireland","County Dublin","Dublin",1,1,1
"20170119","Italy","Trentino-Alto Adige/South Tyrol","(not set)",1,1,1
"20170119","Poland","Lesser Poland Voivodeship","Krakow",3,3,3
"20170119","Poland","Lower Silesian Voivodeship","Legnica",1,1,1
"20170119","Poland","Lower Silesian Voivodeship","Wroclaw",28,28,27
"20170119","Poland","Masovian Voivodeship","Warsaw",14,12,9
"20170119","Poland","Silesian Voivodeship","Katowice",1,1,1
"20170119","United States","California","Palo Alto",1,1,1
"20170120","Germany","(not set)","(not set)",1,1,1
"20170120","Germany","Berlin","Berlin",1,1,0
"20170120","Poland","Greater Poland Voivodeship","Poznan",1,1,1
"20170120","Poland","Lower Silesian Voivodeship","Wroclaw",14,14,13
"20170120","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170120","Poland","Silesian Voivodeship","Bedzin",1,1,1
"20170120","Sweden","Vastra Gotaland County","Gothenburg",1,1,1
"20170120","United States","California","San Francisco",1,1,1
"20170121","Poland","Greater Poland Voivodeship","Poznan",1,1,0
"20170121","Poland","Lower Silesian Voivodeship","Wroclaw",8,8,7
"20170121","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170122","Poland","Lower Silesian Voivodeship","Wroclaw",14,10,8
"20170122","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170122","United States","Massachusetts","Norwood",1,1,1
"20170123","Poland","Lower Silesian Voivodeship","Wroclaw",6,6,5
"20170123","United States","California","San Francisco",1,1,1
"20170124","Germany","(not set)","(not set)",1,1,1
"20170124","Netherlands","North Holland","Amstelveen",1,1,0
"20170124","Poland","Lower Silesian Voivodeship","Wroclaw",15,12,8
"20170124","Poland","Masovian Voivodeship","Radom",1,1,0
"20170124","Poland","Masovian Voivodeship","Warsaw",1,1,1
"20170125","Germany","(not set)","(not set)",2,2,1
"20170125","Germany","Baden-Wurttemberg","Heidelberg",1,1,1
"20170125","Poland","Lower Silesian Voivodeship","Wroclaw",51,36,21
"20170125","Poland","Masovian Voivodeship","Warsaw",5,5,4
"20170125","Spain","Catalonia","Sant Cugat del Valles",1,1,0
"20170125","United States","(not set)","(not set)",1,1,1
"20170126","Germany","(not set)","(not set)",1,1,0
"20170126","Norway","Oslo","Oslo",1,1,0
"20170126","Poland","Greater Poland Voivodeship","Poznan",4,2,1
"20170126","Poland","Lower Silesian Voivodeship","Wroclaw",29,22,9
"20170126","Poland","Masovian Voivodeship","Radom",1,1,1
"20170126","Poland","Masovian Voivodeship","Warsaw",6,4,3
"20170126","Spain","Catalonia","Sant Cugat del Valles",1,1,0
"20170127","Germany","(not set)","(not set)",2,2,1
"20170127","Poland","Lesser Poland Voivodeship","Krakow",1,1,1
"20170127","Poland","Lower Silesian Voivodeship","Wroclaw",4,2,0
